Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Current (A),Channel 2 DC Current (A),Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Current (A),Total DC Gate Current (A),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
5000,12,3,-8.1147133,25.27761413,33.39232743,0.993696058,0,11.92435269,0,0.993696058,0,11.92435269,0,2.827005153,2.825710678
5000,12,3,-7.1147133,26.26798011,33.38269341,1.002185549,0,12.02622658,0,1.002185549,0,12.02622658,0,3.521021112,3.519405269
5000,12,3,-6.1147133,27.25704242,33.37175572,1.012633784,0,12.1516054,0,1.012633784,0,12.1516054,0,4.375932193,4.373918955
5000,12,3,-5.1147133,28.18469573,33.29940903,1.027652122,0,12.33182546,0,1.027652122,0,12.33182546,0,5.338782204,5.336284728
5000,12,3,-4.1147133,29.10189582,33.21660912,1.051160651,0,12.61392781,0,1.051160651,0,12.61392781,0,6.446726431,6.443652612
5000,12,3,-3.1147133,30.024323,33.1390363,1.0844644,0,13.0135728,0,1.0844644,0,13.0135728,0,7.727442001,7.72369113
5000,12,3,-2.1147133,31.00162555,33.11633885,1.134093517,0,13.6091222,0,1.134093517,0,13.6091222,0,9.25406278,9.249547355
5000,12,3,-1.1147133,32.02988292,33.14459622,1.195475898,0,14.34571077,0,1.195475898,0,14.34571077,0,11.12413425,11.11874155
5000,12,3,-0.1147133,32.85693218,32.97164548,1.262083396,0,15.14500075,0,1.262083396,0,15.14500075,0,12.74746765,12.74103693
5000,12,3,0.8852867,33.42920257,32.54391587,1.323465777,0,15.88158933,0,1.323465777,0,15.88158933,0,13.86839796,13.86067765
5000,12,3,1.8852867,33.85121967,31.96593297,1.379625041,0,16.55550049,0,1.379625041,0,16.55550049,0,14.66154212,14.65221846
5000,12,3,2.8852867,34.05634834,31.17106164,1.416192864,0,16.99431436,0,1.416192864,0,16.99431436,0,14.97377097,14.96233626
5000,12,3,3.8852867,34.30067397,30.41538727,1.461250877,0,17.53501053,0,1.461250877,0,17.53501053,0,15.35187291,15.33792136
5000,12,3,4.8852867,34.46791221,29.58262551,1.495860656,0,17.95032787,0,1.495860656,0,17.95032787,0,15.58543167,15.56827408
5000,12,3,5.8852867,34.55937148,28.67408478,1.516757126,0,18.20108552,0,1.516757126,0,18.20108552,0,15.69783856,15.67653602
5000,12,3,6.8852867,34.62861873,27.74333203,1.52981742,0,18.35780904,0,1.52981742,0,18.35780904,0,15.81397417,15.78738481
5000,12,3,7.8852867,34.66520263,26.77991593,1.537652596,0,18.45183116,0,1.537652596,0,18.45183116,0,15.8664874,15.83318395
5000,12,3,8.8852867,34.69002677,25.80474007,1.542223699,0,18.50668439,0,1.542223699,0,18.50668439,0,15.91014211,15.86833982
6000,12,3,-31.2441936,1.53263768,32.77683128,0.962351552,0,11.54821863,0,0.962351552,0,11.54821863,0,0.012323917,0.012317415
6000,12,3,-30.2441936,2.702006424,32.94620002,0.963004667,0,11.55605601,0,0.963004667,0,11.55605601,0,0.016120964,0.016112784
6000,12,3,-29.2441936,3.507258499,32.7514521,0.963657582,0,11.56389098,0,0.963657582,0,11.56389098,0,0.019391967,0.019381675
6000,12,3,-28.2441936,4.553393448,32.79758705,0.963004667,0,11.55605601,0,0.963004667,0,11.55605601,0,0.02469049,0.024677525
6000,12,3,-27.2441936,5.4810439,32.7252375,0.963004667,0,11.55605601,0,0.963004667,0,11.55605601,0,0.030569952,0.03055363
6000,12,3,-26.2441936,6.56156453,32.80575813,0.963004667,0,11.55605601,0,0.963004667,0,11.55605601,0,0.039205484,0.039184936
6000,12,3,-25.2441936,7.585013474,32.82920707,0.963004667,0,11.55605601,0,0.963004667,0,11.55605601,0,0.049623993,0.049598125
6000,12,3,-24.2441936,8.628951157,32.87314476,0.963657582,0,11.56389098,0,0.963657582,0,11.56389098,0,0.063065396,0.063032852
6000,12,3,-23.2441936,9.607142533,32.85133613,0.963657582,0,11.56389098,0,0.963657582,0,11.56389098,0,0.078996939,0.078955968
6000,12,3,-22.2441936,10.51519688,32.75939048,0.963657582,0,11.56389098,0,0.963657582,0,11.56389098,0,0.097367877,0.097316297
6000,12,3,-21.2441936,11.60528096,32.84947456,0.964310597,0,11.57172716,0,0.964310597,0,11.57172716,0,0.125063308,0.124998417
6000,12,3,-20.2441936,12.56779202,32.81198562,0.964963611,0,11.57956333,0,0.964963611,0,11.57956333,0,0.155986502,0.155904865
6000,12,3,-19.2441936,13.57383832,32.81803192,0.965616626,0,11.58739951,0,0.965616626,0,11.58739951,0,0.196515971,0.196413265
6000,12,3,-18.2441936,14.50410565,32.74829925,0.966269641,0,11.59523569,0,0.966269641,0,11.59523569,0,0.243293768,0.243164557
6000,12,3,-17.2441936,15.59507855,32.83927215,0.966922655,0,11.60307186,0,0.966922655,0,11.60307186,0,0.312561062,0.312398504
6000,12,3,-16.2441936,16.54494199,32.78913559,0.968228685,0,11.61874422,0,0.968228685,0,11.61874422,0,0.388449894,0.388245522
6000,12,3,-15.2441936,17.51963147,32.76382507,0.969534714,0,11.63441657,0,0.969534714,0,11.63441657,0,0.485532759,0.485275817
6000,12,3,-14.2441936,18.49693402,32.74112762,0.970840743,0,11.65008892,0,0.970840743,0,11.65008892,0,0.6072453,0.606922263
6000,12,3,-13.2441936,19.55132207,32.79551567,0.972799688,0,11.67359625,0,0.972799688,0,11.67359625,0,0.772551675,0.772145815
6000,12,3,-12.2441936,20.52470502,32.76889862,0.975411746,0,11.70494096,0,0.975411746,0,11.70494096,0,0.964053808,0.963544229
6000,12,3,-11.2441936,21.51245984,32.75665344,0.97867682,0,11.74412184,0,0.97867682,0,11.74412184,0,1.206216975,1.205577593
6000,12,3,-10.2441936,22.432273,32.6764666,0.981941893,0,11.78330272,0,0.981941893,0,11.78330272,0,1.485799694,1.484997437
6000,12,3,-9.2441936,23.45661267,32.70080627,0.986512996,0,11.83815595,0,0.986512996,0,11.83815595,0,1.872307643,1.871302341
6000,12,3,-8.2441936,24.40778264,32.65197624,0.992390028,0,11.90868034,0,0.992390028,0,11.90868034,0,2.31693914,2.315681034
