Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,957,3.640300478,-12.20049191,27.85440636,4.624962807,81.92459106,-24.12343979,0,3.910173132,-148.0714722
0,0,958,3.638848661,-12.13310814,27.74466324,4.612907887,93.22109222,-24.12948608,0,3.913077284,-149.8065948
0,0,959,3.637425961,-12.05769444,27.63703537,4.59746933,104.5321579,-24.13527679,0,3.916615781,-151.5429077
0,0,960,3.63583114,-11.97728634,27.53150749,4.572757244,115.8601837,-24.14094543,0,3.920412905,-153.2805176
0,0,961,3.634357993,-11.89592075,27.42786789,4.538985729,127.2102356,-24.1461544,0,3.924505502,-155.0193329
0,0,962,3.632797073,-11.81805325,27.32567406,4.481369495,138.5809326,-24.15116501,0,3.928376456,-156.7594299
0,0,963,3.631321432,-11.74724483,27.22431374,4.394236565,149.9717407,-24.15587997,0,3.931931582,-158.5007935
0,0,964,3.62982374,-11.68519497,27.12272072,4.299273491,161.3817291,-24.16048241,0,3.934915227,-160.2433929
0,0,965,3.628519011,-11.63208294,27.01962662,4.170004845,172.8070831,-24.16483307,0,3.937501266,-161.9873199
0,0,966,3.627538334,-11.58757591,26.91342163,4.020629883,-175.7553253,-24.16887665,0,3.939820565,-163.7324982
0,0,967,3.626938411,-11.54950333,26.80347061,3.909092188,-164.3023224,-24.17263222,0,3.942072518,-165.4789581
0,0,968,3.626678671,-11.51530457,26.69059944,3.822786331,-152.8356781,-24.17621613,0,3.944397499,-167.2266846
0,0,969,3.627061864,-11.4823103,26.57601929,3.767494678,-141.355423,-24.1794014,0,3.94729522,-168.975647
0,0,970,3.627942514,-11.44689274,26.461092,3.71035862,-129.8631897,-24.18240929,0,3.950898064,-170.7258148
0,0,971,3.629851663,-11.40600491,26.34696579,3.653520346,-118.3554001,-24.18476486,0,3.955979738,-172.4771729
0,0,972,3.63262944,-11.35769272,26.23417854,3.596919775,-106.8362122,-24.18660545,0,3.962547839,-174.2297668
0,0,973,3.636306118,-11.30181026,26.12316132,3.53913784,-95.30368805,-24.18785858,0,3.97066589,-175.9835663
0,0,974,3.640751754,-11.23971081,26.01403999,3.463200808,-83.74978638,-24.18861198,0,3.980119958,-177.7386017
0,0,975,3.645897439,-11.17450714,25.90677261,3.399045229,-72.1807251,-24.18889236,0,3.990608446,-179.4948578
0,0,976,3.651657097,-11.11014843,25.8012104,3.330895424,-60.58678436,-24.18874359,0,4.001727521,178.7476654
0,0,977,3.65796182,-11.05013657,25.69684792,3.252975941,-48.96611786,-24.18819237,0,4.013107841,176.9889526
0,0,978,3.664841881,-10.99695683,25.59296989,3.166862488,-37.33184814,-24.18716621,0,4.024549709,175.2290344
0,0,979,3.671974694,-10.95177937,25.48849487,3.076047421,-25.68260002,-24.18594551,0,4.035605843,173.4678802
0,0,980,3.679396253,-10.91480541,25.38192749,2.952456951,-14.01760769,-24.18445206,0,4.046271495,171.7055054
0,0,981,3.687160056,-10.88461494,25.27210808,2.854511738,-2.349138498,-24.18260765,0,4.056706587,169.9419098
0,0,982,3.695380071,-10.85932922,25.15867996,2.759758234,9.329512596,-24.18034363,0,4.067179523,168.1770935
0,0,983,3.704103845,-10.8363266,25.04263878,2.668446302,21.01540565,-24.17767525,0,4.077965248,166.4110718
0,0,984,3.713495274,-10.81214809,24.92533875,2.58073163,32.71515274,-24.17450142,0,4.089536902,164.6438446
0,0,985,3.723624793,-10.78379726,24.8080616,2.501980543,44.41864014,-24.17081451,0,4.10223979,162.875412
0,0,986,3.734539948,-10.74899006,24.69166756,2.432963371,56.12644958,-24.16662979,0,4.116339522,161.1057892
0,0,987,3.746417987,-10.70667839,24.57678223,2.375159025,67.84832764,-24.16183281,0,4.132126454,159.3349762
0,0,988,3.759270216,-10.65740967,24.4636631,2.333014965,79.57795715,-24.15647507,0,4.149583054,157.562912
0,0,989,3.773285326,-10.60341072,24.35243034,2.298375607,91.31449127,-24.15043068,0,4.168710671,155.7896576
0,0,990,3.788138931,-10.54818249,24.2430439,2.265167952,103.0605774,-24.14408684,0,4.188865693,154.0151672
0,0,991,3.804095041,-10.49475002,24.1352787,2.231629133,114.8179779,-24.13721848,0,4.210021691,152.2394562
0,0,992,3.820818674,-10.4465971,24.02862167,2.200990438,126.5823364,-24.13010406,0,4.231491978,150.4625397
0,0,993,3.838218017,-10.40538597,23.92237282,2.159426451,138.3508759,-24.12275505,0,4.252999881,148.6844177
0,0,994,3.856199348,-10.37144089,23.81546593,2.105370998,150.1278381,-24.11518478,0,4.274397745,146.9050446
0,0,995,3.874722349,-10.34439754,23.7068615,2.029776335,161.9186554,-24.10735321,0,4.295663749,145.1244507
0,0,996,3.893824907,-10.32294178,23.5956459,1.94645226,173.7166595,-24.09914207,0,4.316955989,143.3426361
0,0,997,3.913356078,-10.30485439,23.4816227,1.860761046,-174.4792938,-24.09062195,0,4.338342366,141.5595703
0,0,998,3.933126773,-10.28737164,23.36544418,1.774287105,-162.6613312,-24.08190155,0,4.359914367,139.7752838
0,0,999,3.953483867,-10.26732063,23.24813652,1.70402801,-150.8343201,-24.07255363,0,4.382347256,137.9897766
0,0,1000,3.974171514,-10.24192905,23.13070869,1.65958631,-138.9934692,-24.06275368,0,4.405678811,136.2030487
0,0,1001,3.995284159,-10.20968437,23.01399422,1.640565753,-127.1398468,-24.05234528,0,4.430173649,134.4151001
0,0,1002,4.016703812,-10.17081356,22.89856148,1.657141566,-115.2693329,-24.04145813,0,4.455707591,132.6259155
