Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,2050,11.19846068,-25.6609745,42.77349091,1.210499644,-148.2056274,-24.6454525,0,11.21027143,161.6373444
0,0,2051,11.19618075,-25.67622757,45.79578018,1.376621366,-140.5653992,-24.66549301,0,11.20795003,158.7156067
0,0,2052,11.19379084,-25.68179131,48.84041595,1.402921557,-132.9306488,-24.68586731,0,11.20554503,155.7940063
0,0,2053,11.19177505,-25.67746925,51.90011597,1.382946491,-125.2974472,-24.70601845,0,11.20354096,152.872467
0,0,2054,11.1899747,-25.66472626,54.97129822,1.312512994,-117.6655121,-24.72603226,0,11.20177523,149.9510651
0,0,2055,11.18821967,-25.64113235,58.05142212,1.242722631,-110.0303192,-24.74600601,0,11.20008457,147.0298004
0,0,2056,11.1864905,-25.60552025,61.13898468,1.17986691,-102.393074,-24.76588631,0,11.19845323,144.1087494
0,0,2057,11.18452362,-25.55692291,64.23273468,1.17763865,-94.76351166,-24.78586388,0,11.19662116,141.187912
0,0,2058,11.18247887,-25.4900322,67.33206177,1.190707445,-87.14662933,-24.80570602,0,11.19476444,138.2672882
0,0,2059,11.18018803,-25.39979553,70.43658447,1.230526328,-79.54323578,-24.82550812,0,11.19273191,135.3469391
0,0,2060,11.1775916,-25.29951286,73.54614258,1.302803874,-71.95102692,-24.84525681,0,11.19042893,132.4268188
0,0,2061,11.17452749,-25.24393654,76.66137695,1.426512241,-64.37220764,-24.86506271,0,11.18753041,129.507019
0,0,2062,11.17108321,-25.22721672,79.78289795,1.581072092,-56.81206894,-24.88487244,0,11.18413636,126.5873947
0,0,2063,11.16733905,-25.2218399,82.91249084,1.796728611,-49.26599884,-24.90466118,0,11.18040838,123.6679764
0,0,2064,11.16328563,-25.21094513,86.05482483,1.892720342,-41.72179031,-24.92449379,0,11.17638784,120.7487411
0,0,2065,11.15896129,-25.19307518,89.21945953,1.910303831,-34.17949295,-24.94438744,0,11.17211761,117.8297272
0,0,2066,11.15451115,-25.16698837,92.41203308,1.900447965,-26.63323402,-24.96425247,0,11.16774686,114.9108582
0,0,2067,11.1499602,-25.13157272,95.62208557,1.950731635,-19.08252716,-24.98411942,0,11.16330445,111.9920197
0,0,2068,11.14536773,-25.08647728,98.84433746,2.031415939,-11.52893639,-25.00398445,0,11.15885148,109.0733566
0,0,2069,11.14083692,-25.03213692,102.0763245,2.136987209,-3.972470999,-25.0237999,0,11.15449071,106.1548386
0,0,2070,11.13669029,-24.96845436,105.3161469,2.27789259,3.585252523,-25.04329872,0,11.15054608,103.2364502
