Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Absolute Gain (dBi)
-179,0,1075,-13.17613397,-3.473864718,0,-10.58465552
-179,0,1090,-14.47201764,-1.640881083,0,-9.450306448
-179,0,1105,-14.71083486,-1.537117102,0,-9.454147398
-179,0,1120,-16.12476769,-2.451758991,0,-12.47334178
-179,0,1135,-18.89472198,-5.948283535,0,-17.62095906
-179,0,1150,-15.80259584,-6.011833128,0,-14.55028227
-179,0,1165,-12.75849626,-2.599203685,0,-9.294078489
-179,0,1180,-13.20572797,-1.606567945,0,-8.108326647
-179,0,1195,-13.15763849,-1.460601163,0,-7.715259601
-179,0,1210,-14.66684215,-2.133380645,0,-10.55657052
-179,0,1225,-15.29168022,-4.732483851,0,-13.51127299
-179,0,1240,-11.37425926,-6.626726307,0,-10.30946926
-179,0,1255,-10.08391401,-3.066577586,0,-7.129171732
-179,0,1270,-9.505459136,-1.793962356,0,-4.799601032
-179,0,1285,-8.844023241,-1.626353891,0,-3.790500788
-179,0,1300,-8.351601738,-2.034796531,0,-4.081221231
-179,0,1315,-8.014967389,-4.478918942,0,-6.100183791
-179,0,1330,-9.301884199,-8.802315357,0,-8.688305047
-179,0,1345,-13.20086294,-5.038889822,0,-11.56784604
-179,0,1360,-15.05679024,-2.495883122,0,-11.4628502
-179,0,1375,-11.16190829,-1.78378658,0,-6.436085434
-179,0,1390,-9.000477022,-2.240165928,0,-5.053393028
-179,0,1405,-7.995749898,-5.041759742,0,-6.3640424
-179,0,1420,-8.51225562,-12.62491617,0,-8.268229179
-179,0,1435,-9.118370272,-6.551929464,0,-8.032567408
-179,0,1450,-6.409655031,-3.783072698,0,-4.055171884
-179,0,1465,-3.581855688,-2.788124509,0,-0.337398567
-179,0,1480,-1.956302524,-3.020671088,0,1.04365101
-179,0,1495,-1.360742925,-4.748014702,0,0.411815221
-179,0,1510,-1.572086576,-11.71831778,0,-1.26939581
-179,0,1525,-4.288361415,-8.820065364,0,-3.677469483
-179,0,1540,-12.14188949,-3.878853314,0,-9.855053835
-179,0,1555,-4.417124165,-2.297230809,0,-0.553225114
-179,0,1570,-1.830140332,-2.903945951,0,1.289183647
-179,0,1585,-0.876206369,-6.680727734,0,0.17369792
-179,0,1600,-1.130625972,-18.17573091,0,-1.064016276
-179,0,1615,-2.535436222,-10.98109311,0,-2.1743558
-179,0,1630,-5.582333404,-6.504839439,0,-4.483061205
-179,0,1645,-4.128799338,-4.217137444,0,-2.061868032
-179,0,1660,0.518480613,-6.578023216,0,1.596900175
-179,0,1675,-4.532977971,-7.89060216,0,-3.76265843
-179,0,1690,-2.161542684,-5.8630471,0,-0.858341441
-179,0,1705,-2.415712686,-6.294164924,0,-1.253813841
-179,0,1720,-2.954436495,-7.390928702,0,-2.080107868
-179,0,1735,-2.896154018,-8.172992676,0,-2.17857436
-179,0,1750,-3.528177538,-7.955756872,0,-2.77039048
-179,0,1765,-4.145091571,-8.265766698,0,-3.443971972
-179,0,1780,-4.558539953,-8.933848481,0,-3.964577244
-179,0,1795,-5.747125705,-8.865658207,0,-5.143078552
-179,0,1810,-7.226359975,-9.003401467,0,-6.64249791
-179,0,1825,-9.584820831,-9.72705382,0,-9.095831939
-179,0,1840,-8.309624927,-10.10194797,0,-7.863231248
-179,0,1855,-9.664788548,-10.25336665,0,-9.234474308
-179,0,1870,-10.42619014,-10.78778444,0,-10.04793816
-179,0,1885,-17.95680429,-11.46157967,0,-17.63498048
-179,0,1900,-11.99447262,-11.8153124,0,-11.69870013
-179,0,1915,-13.89089354,-11.9697543,0,-13.60580121
-179,0,1930,-8.469016748,-12.72975769,0,-8.230973233
-179,0,1945,-6.897302566,-13.33990665,0,-6.691212333
-179,0,1960,-7.956024633,-13.61997192,0,-7.763095476
-179,0,1975,-4.6296382,-14.35743743,0,-4.467409855
-179,0,1990,-4.029221687,-15.18778644,0,-3.895664765
-179,0,2005,-3.464591915,-15.13056307,0,-3.329235688
-179,0,2020,-2.360819092,-15.72666971,0,-2.243060676
-179,0,2035,-2.461901126,-16.0054143,0,-2.351557209
-179,0,2050,-1.734877925,-15.49528244,0,-1.610582247
-179,0,2065,-1.441904654,-16.06399846,0,-1.333057912
-179,0,2080,-1.379137715,-17.19677184,0,-1.295523303
-179,0,2095,-1.961781086,-16.63131716,0,-1.866410956
-179,0,2110,-1.769384935,-17.620809,0,-1.693616851
-179,0,2125,-1.628256492,-20.00360308,0,-1.584644817
-179,0,2140,-1.846316429,-20.74846169,0,-1.80960745
-179,0,2155,-1.603785396,-20.15902623,0,-1.561714327
-179,0,2170,-1.652734938,-21.18452048,0,-1.619546207
-179,0,2185,-1.755962471,-22.46786171,0,-1.731288944
-179,0,2200,-2.294759654,-19.54764811,0,-2.246293276
-179,0,2215,-2.648354386,-16.2796822,0,-2.544844626
-179,0,2230,-3.100340616,-16.13290176,0,-2.993228467
-179,0,2245,-3.604963604,-15.70875097,0,-3.48671163
-179,0,2260,-4.32312819,-13.33580421,0,-4.116838489
-179,0,2275,-4.856175542,-12.93878887,0,-4.629615037
-179,0,2290,-5.574247557,-13.87341682,0,-5.392487292
-179,0,2305,-7.418629313,-12.84942509,0,-7.187230913
-179,0,2320,-11.03123993,-12.42483025,0,-10.77536228
-179,0,2335,-9.821147714,-13.88642726,0,-9.639942648
-179,0,2350,-7.511135398,-14.39953778,0,-7.350501396
-179,0,2365,-5.963860778,-13.4765607,0,-5.764303346
-179,0,2380,-4.437464203,-14.10399374,0,-4.265291162
-179,0,2395,-2.780925881,-15.32459124,0,-2.651572797
-179,0,2410,-2.594973382,-13.39190397,0,-2.391394321
-179,0,2425,-2.064469103,-12.08752869,0,-1.787252957
-179,0,2440,-2.636886362,-12.02585963,0,-2.355574517
-179,0,2455,-2.741700592,-10.3897378,0,-2.325347409
-179,0,2470,-3.283557311,-9.226633172,0,-2.730893287
-179,0,2485,-2.696697394,-9.409730243,0,-2.168296569
-179,0,2500,-2.144706912,-8.428030016,0,-1.471402133
-179,0,2515,-2.126077309,-8.219891981,0,-1.416870313
-179,0,2530,-2.242390076,-8.563286199,0,-1.591360676
-179,0,2545,-2.585819047,-8.457295254,0,-1.917402734
-179,0,2560,-2.521435077,-8.803587595,0,-1.908048953
-179,0,2575,-2.766248573,-9.869563451,0,-2.293935903
-179,0,2590,-2.902879069,-10.56945029,0,-2.50420258
-179,0,2605,-3.452107003,-10.55076378,0,-3.051629671
-179,0,2620,-3.993286492,-9.844344608,0,-3.518067077
-179,0,2635,-4.776646315,-9.392772322,0,-4.246046629
-179,0,2650,-7.171448827,-8.497154659,0,-6.509629136
-179,0,2665,-7.331709492,-7.178018848,0,-6.408440244
-179,0,2680,-9.779164629,-7.074152825,0,-8.830923562
-179,0,2695,-15.93317349,-7.036157199,0,-14.97561041
-179,0,2710,-12.4661336,-6.505738092,0,-11.36712021
-179,0,2725,-14.5945595,-7.092264072,0,-13.65072633
-179,0,2740,-12.71380183,-8.177929465,0,-11.99710853
-179,0,2755,-13.76740499,-8.439925732,0,-13.09609191
-179,0,2770,-11.71321615,-9.010349133,0,-11.13035291
-179,0,2785,-13.26542047,-9.441843075,0,-12.74115711
-179,0,2800,-7.921025771,-8.696315382,0,-7.291132697
-179,0,2815,-8.443745414,-7.5137248,0,-7.596335394
-179,0,2830,-8.184377161,-7.178277517,0,-7.261169185
-179,0,2845,-9.787522852,-6.927153181,0,-8.802644236
-179,0,2860,-9.276415483,-6.926034374,0,-8.291252029
-179,0,2875,-8.030854939,-7.33376666,0,-7.143674885
-179,0,2890,-7.750817463,-7.792523329,0,-6.961203821
-179,0,2905,-7.527197434,-9.255857287,0,-6.978484223
-179,0,2920,-8.175543084,-9.701951563,0,-7.683552874
-179,0,2935,-7.551662221,-7.904473551,0,-6.784029657
-179,0,2950,-6.27258843,-7.281514151,0,-5.373477835
-179,0,2965,-5.262608544,-7.464686206,0,-4.404559726
-179,0,2980,-5.919621427,-6.11300562,0,-4.700604149
-179,0,2995,-6.780108724,-6.658001731,0,-5.723968677
-179,0,3010,-7.100179936,-8.600645543,0,-6.45516236
-179,0,3025,-7.080747809,-9.789831267,0,-6.599180404
-179,0,3040,-7.413982335,-9.436959337,0,-6.88909197
-179,0,3055,-18.43358358,-8.703820424,0,-17.80486076
-179,0,3070,-9.586835587,-7.38189675,0,-8.710490107
-179,0,3085,-9.305479771,-6.509755462,0,-8.207622521
-179,0,3100,-9.494464476,-7.008264609,0,-8.529993114
-179,0,3115,-8.474541332,-9.948025069,0,-8.01115285
-179,0,3130,-9.245185884,-12.73421056,0,-9.007393114
-179,0,3145,-7.621890274,-9.575627937,0,-7.114497613
-179,0,3160,-8.744710305,-7.997876839,0,-7.994906641
-179,0,3175,-7.907408801,-7.127135183,0,-6.971998482
-179,0,3190,-6.897114248,-7.516889521,0,-6.050385801
-179,0,3205,-8.788844055,-10.47310155,0,-8.380790568
-179,0,3220,-12.953212,-15.31294831,0,-12.82350643
-179,0,3235,-12.56361991,-11.52226382,0,-12.24642883
-179,0,3250,-8.122614382,-9.12709217,0,-7.556264382
-179,0,3265,-10.50300332,-7.99498224,0,-9.75265396
-179,0,3280,-7.641277511,-8.619979851,0,-6.999347706
-179,0,3295,-7.318226755,-13.32800829,0,-7.111557454
-179,0,3310,-9.213326535,-15.82095031,0,-9.098130817
-179,0,3325,-12.9084224,-9.647151669,0,-12.40981219
-179,0,3340,-12.43959079,-8.20790482,0,-11.72825392
-179,0,3355,-8.049892476,-9.208731508,0,-7.49479337
-179,0,3370,-8.423967632,-8.970571605,0,-7.835361019
-179,0,3385,-8.254941929,-10.97465559,0,-7.89330295
-179,0,3400,-8.378401461,-12.70214709,0,-8.138797086
-179,0,3415,-7.801781635,-8.885605535,0,-7.200703263
-179,0,3430,-7.910847592,-7.070653995,0,-6.961752345
-179,0,3445,-8.08702915,-8.021031321,0,-7.341575122
-179,0,3460,-8.827643929,-8.019313774,0,-8.0818682
-179,0,3475,-12.19819437,-7.567368702,0,-11.36225626
-179,0,3490,-11.33161165,-7.810670057,0,-10.54560728
-179,0,3505,-14.25643292,-8.926409159,0,-13.66137884
-179,0,3520,-12.94771339,-9.028449276,0,-12.36744373
-179,0,3535,-12.08537921,-9.931505331,0,-11.62012667
-179,0,3550,-14.01449959,-12.78936608,0,-13.77979028
-179,0,3565,-9.912208549,-12.83151397,0,-9.679827801
-179,0,3580,-12.03326062,-13.8151635,0,-11.84899311
-179,0,3595,-9.285852109,-14.46947023,0,-9.127831266
-179,0,3610,-12.5873641,-14.67850519,0,-12.43689916
-179,0,3625,-9.207116568,-15.15663238,0,-9.072583085
-179,0,3640,-18.09126279,-14.50927662,0,-17.93471002
-179,0,3655,-10.1941025,-16.26380434,0,-10.09020904
-179,0,3670,-8.843491839,-17.11831061,0,-8.758338049
-179,0,3685,-8.575472472,-14.48483346,0,-8.418019881
-179,0,3700,-12.19086306,-16.70235259,0,-12.097057
-179,0,3715,-6.077904376,-16.59267689,0,-5.981672415
-179,0,3730,-8.585072982,-14.06191089,0,-8.411189475
-179,0,3745,-8.425409381,-14.8020479,0,-8.279236206
-179,0,3760,-5.731974795,-15.08664594,0,-5.595220976
-179,0,3775,-11.73368411,-14.64583602,0,-11.58206298
-179,0,3790,-7.33252747,-14.10305559,0,-7.160316486
-179,0,3805,-7.404453177,-14.60989682,0,-7.251549696
-179,0,3820,-10.95246007,-14.97577607,0,-10.8121124
-179,0,3835,-9.721576287,-14.14368843,0,-9.551000917
-179,0,3850,-5.964400056,-13.8283877,0,-5.780704804
-179,0,3865,-8.878874129,-13.82536556,0,-8.695048259
-179,0,3880,-9.664480245,-13.42535175,0,-9.462499946
-179,0,3895,-8.261860081,-13.82274848,0,-8.077921024
-179,0,3910,-7.483222378,-12.31550321,0,-7.22062044
-179,0,3925,-8.002892898,-13.52487922,0,-7.805594312
-179,0,3940,-7.565233561,-15.25103934,0,-7.433637292
-179,0,3955,-7.951769389,-12.85859605,0,-7.720872324
